""	"Código de cor"	""	"Comprimento (mm)"	""	"Destino"	"Seção"	""	"Destino"	""	""	""	""	""	
""	"VT"	"Command"	         0	"K5"	"X4-11"	""	"K5"	"11"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"K4"	"X4-10"	""	"K4"	"10"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"J5"	"M3"	""	"J5"	"M3"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"J6"	"M4"	""	"J6"	"M4"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"B1"	"X3-17"	""	"B1"	"17"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"B4"	"X3-18"	""	"B4"	"18"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"B5"	"X3-27"	""	"B5"	"27"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"B6"	"X3-28"	""	"B6"	"28"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"B7"	"X3-37"	""	"B7"	"37"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"B8"	"X3-38"	""	"B8"	"38"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"S6"	"X2-5"	""	"S6"	"5"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"S6"	"S7"	""	"S6"	"S7"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"X4-9"	"K3"	""	"9"	"K3"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"X4-17"	"K3"	""	"17"	"K3"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"X4-25"	"K3"	""	"25"	"K3"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"S1"	"X2-4"	""	"S1"	"4"	"L1"	"L1"	""	""	""	
""	"VT"	"Command"	         0	"S1"	"S3"	""	"S1"	"S3"	"L1"	"L1"	""	""	""	
"8"	"VT"	"Command"	         0	"S3"	"S7"	""	"S3"	"S7"	"L1"	"L1"	""	""	"8"	
"4"	"VT"	"Command"	         0	"X2-3"	"X2-6"	""	"3"	"6"	"L1"	"L1"	""	""	"4"	
"13"	"VT"	"Command"	         0	"K6"	"X2-12"	""	"K6"	"12"	"L1"	"L1"	""	""	"13"	
"13"	"VT"	"Command"	         0	"X2-12"	"K5"	""	"12"	"K5"	"L1"	"L1"	""	""	"13"	
"4"	"VT"	"Command"	         0	"-J4:S12"	"X2-3"	""	"J4"	"3"	"L1"	"L1"	"S12"	""	"4"	
""	"VT"	"Command"	         0	"-J4:S21"	"X2-5"	""	"J4"	"5"	"L1"	"L1"	"S21"	""	""	
"6"	"VT"	"Command"	         0	"S2"	"X2-8"	""	"S2"	"8"	"L1"	"L1"	""	""	"6"	
"7"	"VT"	"Command"	         0	"S2"	"X2-7"	""	"S2"	"7"	"L1"	"L1"	""	""	"7"	
"28"	"VT"	"Command"	         0	"H2"	"X2-9"	""	"H2"	"9"	"L1"	"L1"	""	""	"28"	
"29"	"VT"	"Command"	         0	"H2"	"X2-10"	""	"H2"	"10"	"L1"	"L1"	""	""	"29"	
"30"	"VT"	"Command"	         0	"H2"	"X2-11"	""	"H2"	"11"	"L1"	"L1"	""	""	"30"	
""	"VT"	"Command"	         0	"-J4:S11"	"X2-4"	""	"J4"	"4"	"L1"	"L1"	"S11"	""	""	
"4"	"VT"	"Command"	         0	"-J4:S22"	"X2-6"	""	"J4"	"6"	"L1"	"L1"	"S22"	""	"4"	
"7"	"VT"	"Command"	         0	"-J4:X1"	"X2-7"	""	"J4"	"7"	"L1"	"L1"	"X1"	""	"7"	
"13"	"VT"	"Command"	         0	"H2"	"X2-12"	""	"H2"	"12"	"L1"	"L1"	""	""	"13"	
"20"	"VT"	"Command"	         0	"X4-1"	"K3"	""	"1"	"K3"	"L1"	"L1"	""	""	"20"	
"29"	"VT"	"Command"	         0	"X2-10"	"K5"	""	"10"	"K5"	"L1"	"L1"	""	""	"29"	
"30"	"VT"	"Command"	         0	"X2-11"	"K4"	""	"11"	"K4"	"L1"	"L1"	""	""	"30"	
"13"	"VT"	"Command"	         0	"K4"	"K5"	""	"K4"	"K5"	"L1"	"L1"	""	""	"13"	
"SAFE_OUT_3"	"VT"	"Command"	         0	"X3-4"	"-J4:34"	""	"4"	"J4"	"L1"	"L1"	""	"34"	"SAFE_OUT_3"	
"SAFE_OUT_1"	"VT"	"Command"	         0	"K1"	"K2"	""	"K1"	"K2"	"L1"	"L1"	""	""	"SAFE_OUT_1"	
"SAFE_OUT_1"	"VT"	"Command"	         0	"K2"	"-J4:14"	""	"K2"	"J4"	"L1"	"L1"	""	"14"	"SAFE_OUT_1"	
"6"	"VT"	"Command"	         0	"K2"	"X2-8"	""	"K2"	"8"	"L1"	"L1"	""	""	"6"	
"10"	"VT"	"Command"	         0	"K1"	"K2"	""	"K1"	"K2"	"L1"	"L1"	""	""	"10"	
"11"	"VT"	"Command"	         0	"-J4:X2"	"K1"	""	"J4"	"K1"	"L1"	"L1"	"X2"	""	"11"	
""	""	"GND"	         0	"K5"	"K6"	""	"K5"	"K6"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"K5"	"K9"	""	"K5"	"K9"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"K5"	"K8"	""	"K5"	"K8"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"K5"	"K7"	""	"K5"	"K7"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B5"	"B5"	""	"B5"	"B5"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B5"	"B5"	""	"B5"	"B5"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B5"	"B6"	""	"B5"	"B6"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B6"	"B6"	""	"B6"	"B6"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B6"	"B6"	""	"B6"	"B6"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B6"	"K8"	""	"B6"	"K8"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B1"	"B1"	""	"B1"	"B1"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B1"	"B1"	""	"B1"	"B1"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B1"	"B4"	""	"B1"	"B4"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B4"	"B4"	""	"B4"	"B4"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B4"	"B4"	""	"B4"	"B4"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B4"	"K7"	""	"B4"	"K7"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B2"	"B2"	""	"B2"	"B2"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B2"	"B2"	""	"B2"	"B2"	"L1"	"L1"	""	""	""	
""	""	"GND"	         0	"B2"	"B3"	""	"B2"	"B3"	"L1"	"L1"	""	""	""	
